URL,Title of the Page,Type of Source,PEP Role Referenced,Content Snippet
https://www.timeslive.co.za/news/mbuyiseni-ndlozi-29682,Mbuyiseni Ndlozi appointed as Political Party Leader,News,Political Party Leader,"Mbuyiseni Ndlozi serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/government/judge/mandisa-maya,Mandisa Maya addresses parliament,Government,Judge,"Mandisa Maya serves as Judge in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.timeslive.co.za/news/floyd-shivambu-62259,Floyd Shivambu - Political Party Leader responsibilities,News,Political Party Leader,"Floyd Shivambu serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/government/mayor/solly-msimanga,Interview with Solly Msimanga,News,Mayor,"Solly Msimanga serves as Mayor in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/news/rudzani-maphwanya-65996,Rudzani Maphwanya addresses parliament,Government,Military Officer,"Rudzani Maphwanya serves as Military Officer in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.timeslive.co.za/profile/mbuyiseni-ndlozi-5699,Profile of Mbuyiseni Ndlozi - Political Party Leader,News,Political Party Leader,"Mbuyiseni Ndlozi serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.timeslive.co.za/news/lindiwe-sisulu-14742,Lindiwe Sisulu addresses parliament,News,Ambassador,"Lindiwe Sisulu serves as Ambassador in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/person/rashad-cassim,Rashad Cassim - Central Bank Official responsibilities,Government,Central Bank Official,"Rashad Cassim serves as Central Bank Official in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.mg.co.za/article/360233/john-steenhuisen,John Steenhuisen appointed as Political Party Leader,News,Political Party Leader,"John Steenhuisen serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.saps.gov.za/politics/bheki-cele-biography,"Biography: Bheki Cele, Minister",Government,Minister,"Bheki Cele serves as Minister in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.iol.co.za/news/phumulo-masualle-42660,Phumulo Masualle - Premier responsibilities,News,Premier,"Phumulo Masualle serves as Premier in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.effonline.org/news/julius-malema-93672,Interview with Julius Malema,Political Party,Political Party Leader,"Julius Malema serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.resbank.co.za/politics/kuben-naidoo-biography,"Biography: Kuben Naidoo, Central Bank Official",Government,Central Bank Official,"Kuben Naidoo serves as Central Bank Official in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.sandf.mil.za/person/seymour-goosen,Seymour Goosen addresses parliament,Other,Military Officer,"Seymour Goosen serves as Military Officer in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/government/political-party-leader/helen-zille,Interview with Helen Zille,News,Political Party Leader,"Helen Zille serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/article/524151/raymond-zondo,Raymond Zondo appointed as Judge,News,Judge,"Raymond Zondo serves as Judge in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.judiciary.org.za/article/437076/mogoeng-mogoeng,Interview with Mogoeng Mogoeng,Government,Judge,"Mogoeng Mogoeng serves as Judge in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.mg.co.za/politics/mmusi-maimane-biography,Mmusi Maimane - Political Party Leader responsibilities,News,Political Party Leader,"Mmusi Maimane serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/person/lindiwe-sisulu,Lindiwe Sisulu addresses parliament,Government,Ambassador,"Lindiwe Sisulu serves as Ambassador in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.health.gov.za/person/stella-ndabeni-abrahams,Profile of Stella Ndabeni-Abrahams - Minister,Government,Minister,"Stella Ndabeni-Abrahams serves as Minister in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
